	Track ID	FileName
0	921	jazz.00086.wav
0	903	jazz.00094.wav
0	992	jazz.00059.wav
0	943	jazz.00022.wav
0	905	jazz.00081.wav
0	917	jazz.00079.wav
0	936	jazz.00053.wav
0	922	jazz.00087.wav
0	904	jazz.00095.wav
0	978	jazz.00088.wav
0	952	jazz.00030.wav
0	968	jazz.00012.wav
0	944	jazz.00058.wav
0	971	jazz.00010.wav
0	963	jazz.00003.wav
0	902	jazz.00080.wav
0	949	jazz.00019.wav
0	907	jazz.00068.wav
0	955	jazz.00001.wav
0	942	jazz.00023.wav
0	957	jazz.00029.wav
0	981	jazz.00075.wav
0	969	jazz.00062.wav
0	965	jazz.00013.wav
0	926	jazz.00078.wav
0	969	jazz.00038.wav
0	954	jazz.00018.wav
0	977	jazz.00089.wav
0	941	jazz.00060.wav
0	920	jazz.00092.wav
0	944	jazz.00036.wav
0	930	jazz.00091.wav
0	966	jazz.00007.wav
0	947	jazz.00027.wav
0	908	jazz.00040.wav
0	919	jazz.00045.wav
0	936	jazz.00034.wav
0	925	jazz.00054.wav
0	913	jazz.00096.wav
0	935	jazz.00020.wav
0	932	jazz.00084.wav
0	982	jazz.00061.wav
0	919	jazz.00071.wav
0	994	jazz.00073.wav
0	960	jazz.00000.wav
0	923	jazz.00093.wav
0	970	jazz.00004.wav
0	953	jazz.00024.wav
0	945	jazz.00032.wav
0	980	jazz.00063.wav
0	964	jazz.00017.wav
0	967	jazz.00006.wav
0	927	jazz.00046.wav
0	974	jazz.00065.wav
0	976	jazz.00076.wav
0	924	jazz.00070.wav
0	925	jazz.00050.wav
0	901	jazz.00057.wav
0	958	jazz.00028.wav
0	938	jazz.00009.wav
0	924	jazz.00044.wav
0	979	jazz.00077.wav
0	910	jazz.00097.wav
0	996	jazz.00099.wav
0	974	jazz.00039.wav
0	973	jazz.00005.wav
0	900	jazz.00069.wav
0	959	jazz.00014.wav
0	911	jazz.00083.wav
0	934	jazz.00047.wav
0	940	jazz.00021.wav
0	948	jazz.00033.wav
0	937	jazz.00008.wav
0	906	jazz.00056.wav
0	986	jazz.00074.wav
0	998	jazz.00066.wav
0	912	jazz.00082.wav
0	956	jazz.00015.wav
0	916	jazz.00055.wav
0	941	jazz.00037.wav
0	995	jazz.00098.wav
0	900	jazz.00043.wav
0	908	jazz.00067.wav
0	961	jazz.00016.wav
0	972	jazz.00011.wav
0	983	jazz.00049.wav
0	927	jazz.00072.wav
0	984	jazz.00048.wav
0	916	jazz.00035.wav
0	950	jazz.00025.wav
0	901	jazz.00041.wav
0	946	jazz.00026.wav
0	931	jazz.00090.wav
0	929	jazz.00085.wav
0	951	jazz.00031.wav
0	989	jazz.00064.wav
0	962	jazz.00002.wav
0	928	jazz.00052.wav
0	948	jazz.00051.wav
0	907	jazz.00042.wav
0	609	rock.00086.wav
0	610	rock.00090.wav
0	625	rock.00094.wav
0	606	rock.00051.wav
0	659	rock.00007.wav
0	616	rock.00085.wav
0	665	rock.00010.wav
0	621	rock.00042.wav
0	629	rock.00041.wav
0	652	rock.00022.wav
0	677	rock.00071.wav
0	676	rock.00065.wav
0	664	rock.00004.wav
0	698	rock.00061.wav
0	661	rock.00005.wav
0	690	rock.00063.wav
0	662	rock.00039.wav
0	623	rock.00057.wav
0	684	rock.00066.wav
0	642	rock.00018.wav
0	602	rock.00044.wav
0	646	rock.00009.wav
0	673	rock.00017.wav
0	644	rock.00025.wav
0	679	rock.00058.wav
0	675	rock.00002.wav
0	611	rock.00084.wav
0	641	rock.00024.wav
0	671	rock.00029.wav
0	653	rock.00038.wav
0	612	rock.00053.wav
0	649	rock.00020.wav
0	691	rock.00062.wav
0	650	rock.00034.wav
0	615	rock.00037.wav
0	628	rock.00069.wav
0	685	rock.00067.wav
0	617	rock.00091.wav
0	683	rock.00072.wav
0	637	rock.00033.wav
0	604	rock.00078.wav
0	636	rock.00027.wav
0	697	rock.00075.wav
0	603	rock.00050.wav
0	674	rock.00016.wav
0	601	rock.00093.wav
0	640	rock.00030.wav
0	618	rock.00095.wav
0	678	rock.00059.wav
0	687	rock.00098.wav
0	627	rock.00096.wav
0	668	rock.00000.wav
0	655	rock.00023.wav
0	689	rock.00077.wav
0	639	rock.00026.wav
0	626	rock.00082.wav
0	695	rock.00060.wav
0	670	rock.00015.wav
0	669	rock.00001.wav
0	622	rock.00043.wav
0	696	rock.00074.wav
0	672	rock.00003.wav
0	658	rock.00013.wav
0	614	rock.00046.wav
0	638	rock.00032.wav
0	632	rock.00040.wav
0	643	rock.00019.wav
0	657	rock.00012.wav
0	615	rock.00052.wav
0	686	rock.00073.wav
0	645	rock.00031.wav
0	666	rock.00028.wav
0	613	rock.00047.wav
0	682	rock.00099.wav
0	624	rock.00080.wav
0	611	rock.00092.wav
0	607	rock.00045.wav
0	631	rock.00054.wav
0	620	rock.00056.wav
0	656	rock.00006.wav
0	653	rock.00036.wav
0	699	rock.00049.wav
0	651	rock.00008.wav
0	605	rock.00079.wav
0	688	rock.00088.wav
0	635	rock.00083.wav
0	667	rock.00014.wav
0	692	rock.00076.wav
0	647	rock.00035.wav
0	693	rock.00089.wav
0	634	rock.00097.wav
0	619	rock.00081.wav
0	680	rock.00070.wav
0	648	rock.00021.wav
0	660	rock.00011.wav
0	694	rock.00048.wav
0	633	rock.00068.wav
0	630	rock.00055.wav
0	600	rock.00087.wav
0	681	rock.00064.wav
0	409	reggae.00000.wav
0	418	reggae.00006.wav
0	416	reggae.00013.wav
0	498	reggae.00027.wav
0	404	reggae.00001.wav
0	485	reggae.00034.wav
0	497	reggae.00026.wav
0	490	reggae.00019.wav
0	423	reggae.00048.wav
0	425	reggae.00074.wav
0	441	reggae.00065.wav
0	446	reggae.00054.wav
0	402	reggae.00003.wav
0	489	reggae.00021.wav
0	480	reggae.00037.wav
0	481	reggae.00023.wav
0	496	reggae.00032.wav
0	413	reggae.00011.wav
0	472	reggae.00079.wav
0	466	reggae.00053.wav
0	445	reggae.00083.wav
0	457	reggae.00057.wav
0	451	reggae.00055.wav
0	433	reggae.00067.wav
0	452	reggae.00082.wav
0	478	reggae.00087.wav
0	426	reggae.00089.wav
0	443	reggae.00059.wav
0	456	reggae.00043.wav
0	417	reggae.00007.wav
0	405	reggae.00015.wav
0	479	reggae.00093.wav
0	491	reggae.00025.wav
0	470	reggae.00092.wav
0	495	reggae.00018.wav
0	438	reggae.00058.wav
0	440	reggae.00064.wav
0	450	reggae.00041.wav
0	422	reggae.00049.wav
0	486	reggae.00008.wav
0	430	reggae.00063.wav
0	467	reggae.00047.wav
0	435	reggae.00072.wav
0	406	reggae.00029.wav
0	463	reggae.00091.wav
0	458	reggae.00056.wav
0	455	reggae.00094.wav
0	407	reggae.00028.wav
0	408	reggae.00014.wav
0	473	reggae.00051.wav
0	448	reggae.00068.wav
0	469	reggae.00084.wav
0	424	reggae.00060.wav
0	492	reggae.00031.wav
0	406	reggae.00039.wav
0	488	reggae.00035.wav
0	474	reggae.00045.wav
0	421	reggae.00061.wav
0	483	reggae.00036.wav
0	462	reggae.00085.wav
0	449	reggae.00069.wav
0	420	reggae.00075.wav
0	414	reggae.00005.wav
0	419	reggae.00012.wav
0	465	reggae.00052.wav
0	475	reggae.00044.wav
0	482	reggae.00022.wav
0	427	reggae.00062.wav
0	447	reggae.00040.wav
0	494	reggae.00024.wav
0	429	reggae.00077.wav
0	459	reggae.00042.wav
0	499	reggae.00033.wav
0	431	reggae.00088.wav
0	493	reggae.00030.wav
0	453	reggae.00096.wav
0	442	reggae.00071.wav
0	400	reggae.00016.wav
0	436	reggae.00066.wav
0	428	reggae.00076.wav
0	437	reggae.00099.wav
0	468	reggae.00090.wav
0	432	reggae.00098.wav
0	484	reggae.00020.wav
0	464	reggae.00046.wav
0	410	reggae.00038.wav
0	476	reggae.00050.wav
0	477	reggae.00078.wav
0	412	reggae.00010.wav
0	487	reggae.00009.wav
0	460	reggae.00095.wav
0	411	reggae.00004.wav
0	454	reggae.00080.wav
0	425	reggae.00073.wav
0	403	reggae.00017.wav
0	452	reggae.00081.wav
